tweetid,lang,Country,hatespeech,sentiment_score_round,category_text,verified,Misinformation,misinformation_source_url
546362165175648256,en,,0,positive,sexism,FALSE,,
572329328664448960,en,United States,1,neutral,none,FALSE,,
466599362081333248,en,,0,neutral,sexism,FALSE,,
564908069126414336,en,,0,neutral,sexism,FALSE,,
571130932305879040,und,,1,neutral,none,FALSE,,
549674742999834560,en,,0,neutral,sexism,FALSE,,
428647157478850560,en,,0,positive,sexism,FALSE,,
573020985974124480,en,United States,1,neutral,none,TRUE,,
564632013966020608,en,United States,1,positive,none,TRUE,,
572354833199439936,en,,0,neutral,sexism,FALSE,,
575948250210942976,en,,1,positive,none,FALSE,,
566638139083476992,en,,0,strongly positive,sexism,FALSE,,
382350622411874304,en,,0,positive,sexism,FALSE,,
575728442898956224,en,United States,1,positive,none,TRUE,,
575969211446534080,en,Bangladesh,1,neutral,none,FALSE,,
570234095508307968,en,,0,positive,sexism,FALSE,,
575596744584511424,en,Australia,1,neutral,none,FALSE,,
563313417508094016,es,,0,neutral,sexism,FALSE,,
416973522364149760,en,,0,neutral,sexism,FALSE,,
398112706722422784,en,,0,negative,sexism,FALSE,,
572329120689864704,en,,0,neutral,sexism,FALSE,,
571499576152231936,en,,0,negative,sexism,FALSE,,
515500962136350720,en,,1,neutral,none,FALSE,,
396088923832610816,en,,0,neutral,sexism,FALSE,,
575682770086817792,en,,0,positive,sexism,TRUE,,
563240804324372480,en,,1,neutral,none,TRUE,,
575634944061394880,en,,1,neutral,none,FALSE,,
572328785925693440,en,,1,negative,none,FALSE,,
575605289317068800,en,Australia,1,positive,none,FALSE,,
547773883651477504,en,,1,negative,none,FALSE,,
570978100042821632,en,,1,neutral,none,TRUE,,
563308869867556864,en,,0,neutral,sexism,FALSE,,
563042679257587712,en,,1,neutral,none,TRUE,,
416973461097967616,en,,0,negative,sexism,FALSE,,
573404295493644224,en,,1,neutral,none,TRUE,,
425484182941216768,en,,1,neutral,none,FALSE,,
439144518265237504,en,,0,neutral,sexism,FALSE,,
563771680397332480,es,,1,neutral,none,TRUE,,
554067736179924992,en,,0,neutral,sexism,FALSE,,
572863931082924032,en,,0,neutral,sexism,FALSE,,
565609604743430080,en,,0,neutral,sexism,FALSE,,
563034427044134912,en,,0,neutral,sexism,FALSE,,
461076562830319616,en,,0,neutral,sexism,FALSE,,
572335482618556416,en,,1,neutral,none,FALSE,,
572331154885357568,en,,1,neutral,none,FALSE,,
396088251326283776,en,,0,neutral,sexism,FALSE,,
415245642995224576,en,,0,neutral,sexism,FALSE,,
543517946589761536,en,,0,neutral,sexism,FALSE,,
575980335751569408,en,,0,neutral,sexism,FALSE,,
575972676516257792,tl,,0,neutral,sexism,FALSE,,
572328670657835008,en,,0,neutral,sexism,FALSE,,
529703145321291776,en,,1,positive,none,FALSE,,
489514889195446336,en,,0,neutral,sexism,FALSE,,
572342736973537280,en,,1,neutral,none,FALSE,,
575607862057123840,en,,1,neutral,none,FALSE,,
527213813037543360,en,,1,neutral,none,FALSE,,
383627997950910464,en,,0,neutral,sexism,FALSE,,
572337985980538880,en,,1,neutral,none,FALSE,,
572337067436351424,en,,0,neutral,sexism,FALSE,,
562763513631109120,en,,1,neutral,none,TRUE,,
575596751224078336,en,,0,negative,sexism,FALSE,,
572336044118429696,en,,1,neutral,none,FALSE,,
469986660722040832,en,,0,neutral,sexism,FALSE,,
575991959191314432,en,,1,negative,none,FALSE,,
564183620990947264,en,,0,neutral,sexism,FALSE,,
420632216406720512,en,,0,neutral,sexism,FALSE,,
575597159904510016,en,,0,neutral,sexism,FALSE,,
572329874351759360,en,,0,neutral,sexism,FALSE,,
572336406053322816,en,,0,neutral,sexism,FALSE,,
575990664476778496,en,,1,neutral,none,FALSE,,
575596979788492800,en,,0,neutral,sexism,FALSE,,
576446999576354816,en,,1,neutral,none,FALSE,,
568212707331018816,en,,1,negative,none,TRUE,,
575643836631900160,en,,0,neutral,sexism,FALSE,,
515673580961411136,en,,0,negative,sexism,FALSE,,
410576547293048832,en,,0,negative,sexism,FALSE,,
425484027538059264,en,,0,positive,sexism,FALSE,,
568860629819195392,en,,1,neutral,none,TRUE,,
523254872171245568,en,,1,neutral,none,FALSE,,
573389271437983680,en,,1,neutral,none,TRUE,,
563808436521938880,en,,1,negative,none,TRUE,,
573954591814873024,en,,1,negative,none,TRUE,,
567090838153347136,en,,1,neutral,none,TRUE,,
575635292935221248,en,,1,neutral,none,FALSE,,
446467160429170624,en,,0,neutral,sexism,FALSE,,
524684792483549184,en,,0,negative,sexism,FALSE,,
569901101165621248,en,,1,neutral,none,TRUE,,
575604758511222784,en,,1,neutral,none,FALSE,,
527604653044006912,en,,1,neutral,none,FALSE,,
575596947534274560,en,,0,neutral,sexism,FALSE,,
563567281348026368,en,,0,neutral,sexism,FALSE,,
575615296846725120,en,,1,negative,none,FALSE,,
414469654107525120,en,,0,neutral,sexism,FALSE,,
566807288380284864,en,,1,negative,none,TRUE,,
563594992900657216,en,,0,neutral,sexism,FALSE,,
563591268815888384,en,,0,neutral,sexism,FALSE,,
575959169661939712,tr,,1,neutral,none,FALSE,,
572343186502230016,en,,1,neutral,none,FALSE,,
427959480089710592,en,,0,neutral,sexism,FALSE,,
572327485913759680,en,,1,positive,none,FALSE,,
576516340195815424,en,,1,positive,none,TRUE,,
490551528298909696,en,,0,neutral,sexism,FALSE,,
568058584413687808,en,,0,neutral,sexism,FALSE,,
419586276057038848,en,,0,neutral,sexism,FALSE,,
414469837209882560,en,,0,positive,sexism,FALSE,,
564448879593414656,en,,0,neutral,sexism,FALSE,,
572333302750699520,en,,1,positive,none,FALSE,,
572249928463851520,en,,0,neutral,sexism,FALSE,,
433409814874427392,en,,0,negative,sexism,FALSE,,
572345016275771392,en,,0,negative,sexism,FALSE,,
575643715869351936,en,,1,positive,none,FALSE,,
572340453976088576,en,,1,neutral,none,FALSE,,
563320019141267456,en,,0,neutral,sexism,FALSE,,
446465791337037760,en,,0,neutral,sexism,FALSE,,
562878414378766336,en,,1,neutral,none,TRUE,,
562827090811445248,en,,0,neutral,sexism,FALSE,,
570232796511387648,en,,0,neutral,sexism,FALSE,,
562307702853238784,en,,0,neutral,sexism,FALSE,,
414241877584777216,en,,0,neutral,sexism,FALSE,,
